strategy_id,strategy_name,mutator_id,loss_score
0,CROSS_DUPLEX,0,75616690.75000
0,CROSS_DUPLEX,1,73742356.50000
0,CROSS_DUPLEX,2,190962994.75000
0,CROSS_DUPLEX,3,75616690.75000
0,CROSS_DUPLEX,4,75616690.75000
1,OPEN_CORRIDOR,0,79709075.25000
1,OPEN_CORRIDOR,1,72313712.50000
1,OPEN_CORRIDOR,2,87968397.00000
1,OPEN_CORRIDOR,3,177955332.75000
2,PIECE_OF_CAKE,0,89806440.50000
2,PIECE_OF_CAKE,1,80122259.00000
2,PIECE_OF_CAKE,2,100926076.75000
2,PIECE_OF_CAKE,3,86960004.50000
2,PIECE_OF_CAKE,4,87135416.75000
3,OPEN,0,107853493.00000